"Time","Activity","HR","Cadence"
"0:12:02","running",154,81
"0:12:04","running",155,82
"0:12:06","running",155,82
"0:12:08","running",154,82
"0:12:10","running",155,82
"0:12:12","running",156,81
"0:12:14","running",156,82
"0:12:16","running",156,82
"0:12:18","running",157,84
"0:12:20","running",157,82
"0:12:22","running",156,81
"0:12:24","running",154,84
"0:12:26","running",154,83
"0:12:28","running",154,83
"0:12:30","running",155,84
"0:12:32","running",156,84
"0:12:34","running",157,85
"0:12:36","running",156,83
"0:12:38","running",155,85
"0:12:40","running",155,85
"0:12:42","running",155,85
"0:12:44","running",156,83
"0:12:46","running",156,84
"0:12:48","running",157,85
"0:12:50","running",157,86
"0:12:52","running",155,86
"0:12:54","running",155,86
"0:12:56","running",155,85
"0:12:58","running",155,83
"0:13:00","running",154,83
"0:13:02","running",154,83
"0:13:04","running",155,83
"0:13:06","running",156,83
"0:13:08","running",155,83
"0:13:10","running",154,83
"0:13:12","running",153,83
"0:13:14","running",153,83
"0:13:16","running",153,83
"0:13:18","running",154,83
"0:13:20","running",156,85
"0:13:22","running",156,84
"0:13:24","running",155,83
"0:13:26","running",154,83
"0:13:28","running",153,83
"0:13:30","running",153,84
"0:13:32","running",152,85
"0:13:34","running",152,84
"0:13:36","running",153,83
"0:13:38","running",155,84
"0:13:40","running",155,84
"0:13:42","running",155,84
"0:13:44","running",155,83
"0:13:46","running",156,83
"0:13:48","running",157,83
"0:13:50","running",157,83
"0:13:52","running",156,84
"0:13:54","running",155,85
"0:13:56","running",157,82
"0:13:58","running",156,82
"0:14:00","running",155,82
"0:14:02","running",154,82
"0:14:04","running",155,82
"0:14:06","running",155,82
"0:14:08","running",154,85
"0:14:10","running",154,85
"0:14:12","running",155,85
"0:14:14","running",155,84
"0:14:16","running",154,83
"0:14:18","running",154,85
"0:14:20","running",154,83
"0:14:22","running",155,83
"0:14:24","running",155,85
"0:14:26","running",155,83
"0:14:28","running",155,83
"0:14:30","running",156,83
"0:14:32","running",155,83
"0:14:34","running",154,83
"0:14:36","running",154,83
"0:14:38","running",153,83
"0:14:40","running",154,83
"0:14:42","running",155,83
"0:14:44","running",156,82
"0:14:46","running",155,82
"0:14:48","running",153,82
"0:14:50","running",153,82
"0:14:52","running",154,82
"0:14:54","running",154,81
"0:14:56","running",154,82
"0:14:58","running",154,82
"0:15:00","running",152,82
"0:15:02","running",152,81
"0:15:04","running",151,81
"0:15:06","running",151,82
"0:15:08","running",153,82
"0:15:10","running",153,82
"0:15:12","running",153,82
"0:15:14","running",153,85
"0:15:16","running",152,85
"0:15:18","running",152,83
"0:15:20","running",151,82
"0:15:22","running",152,82
"0:15:24","running",152,82
"0:15:26","running",151,82
"0:15:28","running",151,83
"0:15:30","running",152,83
"0:15:32","running",154,83
"0:15:34","running",154,83
"0:15:36","running",153,83
"0:15:38","running",153,84
"0:15:40","running",154,85
"0:15:42","running",155,85
"0:15:44","running",155,83
"0:15:46","running",156,83
"0:15:48","running",156,83
"0:15:50","running",155,84
"0:15:52","running",155,84
"0:15:54","running",155,85
"0:15:56","running",157,84
"0:15:58","running",158,83
"0:16:00","running",157,83
"0:16:02","running",157,82
"0:16:04","running",157,81
"0:16:06","running",157,81
"0:16:08","running",158,81
"0:16:10","running",159,80
"0:16:12","running",159,80
"0:16:14","running",159,82
"0:16:16","running",159,81
"0:16:18","running",159,81
"0:16:20","running",158,82
"0:16:22","running",158,82
"0:16:24","running",157,82
"0:16:26","running",158,82
"0:16:28","running",158,82
"0:16:30","running",158,82
"0:16:32","running",156,82
"0:16:34","running",156,85
"0:16:36","running",156,85
"0:16:38","running",155,83
"0:16:40","running",155,83
"0:16:42","running",157,85
"0:16:44","running",158,85
"0:16:46","running",157,84
"0:16:48","running",157,85
"0:16:50","running",156,84
"0:16:52","running",157,83
"0:16:54","running",158,84
"0:16:56","running",158,85
"0:16:58","running",160,85
"0:17:00","running",161,85
"0:17:02","running",161,85
"0:17:04","running",161,85
"0:17:06","running",160,85
"0:17:08","running",160,83
"0:17:10","running",160,83
"0:17:12","running",161,84
"0:17:14","running",161,85
"0:17:16","running",162,85
"0:17:18","running",161,85
"0:17:20","running",161,85
"0:17:22","running",161,85
"0:17:24","running",162,85
"0:17:26","running",162,85
"0:17:28","running",161,85
"0:17:30","running",161,85
"0:17:32","running",161,85
"0:17:34","running",162,85
"0:17:36","running",162,85
"0:17:38","running",163,86
"0:17:40","running",162,85
"0:17:42","running",163,85
"0:17:44","running",161,85
"0:17:46","running",159,86
"0:17:48","running",160,86
"0:17:50","running",160,86
"0:17:52","running",161,86
"0:17:54","running",161,87
"0:17:56","running",160,86
"0:17:58","running",160,86
"0:18:00","running",161,83
