"Time","Activity","HR","Cadence"
"0:07:35","walking",112,58
"0:07:37","walking",112,57
"0:07:39","walking",112,57
"0:07:41","walking",109,57
"0:07:43","walking",108,57
"0:07:45","walking",107,57
"0:07:47","walking",107,57
"0:07:49","walking",107,58
"0:07:51","walking",108,58
"0:07:53","walking",110,58
"0:07:55","walking",111,58
"0:07:57","walking",110,58
"0:07:59","walking",107,58
"0:08:01","walking",105,58
"0:08:03","walking",105,58
"0:08:05","walking",107,58
"0:08:07","walking",107,58
"0:08:09","walking",107,58
"0:08:11","walking",107,58
"0:08:13","walking",104,58
"0:08:15","walking",104,57
"0:08:17","walking",105,57
"0:08:19","walking",105,57
"0:08:21","walking",106,58
"0:08:23","walking",107,58
"0:08:25","walking",107,58
"0:08:27","walking",106,57
"0:08:29","walking",104,57
"0:08:31","walking",105,57
"0:08:33","walking",109,58
"0:08:35","walking",110,58
"0:08:37","walking",111,57
"0:08:39","walking",110,58
"0:08:41","walking",108,58
"0:08:43","walking",105,58
"0:08:45","walking",106,58
"0:08:47","walking",105,59
"0:08:49","walking",105,60
"0:08:51","walking",105,60
"0:08:53","walking",109,60
"0:08:55","walking",111,59
"0:08:57","walking",108,59
"0:08:59","walking",103,58
"0:09:01","walking",102,58
"0:09:03","walking",102,58
"0:09:05","walking",102,57
"0:09:07","walking",103,57
"0:09:09","walking",103,57
"0:09:11","walking",105,58
"0:09:13","walking",107,57
"0:09:15","walking",106,55
"0:09:17","walking",105,55
"0:09:19","walking",105,57
"0:09:21","walking",105,57
"0:09:23","walking",105,56
"0:09:25","walking",105,56
"0:09:27","walking",105,56
"0:09:29","walking",105,58
"0:09:31","walking",105,58
"0:09:33","walking",105,58
"0:09:35","walking",107,57
"0:09:37","walking",108,58
"0:09:39","walking",109,58
"0:09:41","walking",109,58
"0:09:43","walking",107,58
"0:09:45","walking",104,58
"0:09:47","walking",103,58
"0:09:49","walking",103,58
"0:09:51","walking",107,56
"0:09:53","walking",110,57
"0:09:55","walking",112,58
"0:09:57","walking",112,58
"0:09:59","walking",111,58
"0:10:01","walking",107,58
"0:10:03","walking",101,53
"0:10:05","walking",101,50
"0:10:07","walking",104,53
"0:10:09","walking",106,57
"0:10:11","walking",108,58
"0:10:13","walking",108,56
"0:10:15","walking",109,55
"0:10:17","walking",109,56
"0:10:19","walking",110,57
"0:10:21","walking",112,56
"0:10:23","walking",112,53
"0:10:25","walking",109,51
"0:10:27","walking",108,51
"0:10:29","walking",108,51
"0:10:31","walking",109,51
"0:10:33","walking",109,51
"0:10:35","walking",108,51
"0:10:37","walking",107,51
"0:10:39","walking",106,53
"0:10:41","walking",107,53
"0:10:43","walking",109,54
"0:10:45","walking",110,54
"0:10:47","walking",105,57
"0:10:49","walking",106,55
"0:10:51","walking",107,58
"0:10:53","walking",109,61
"0:10:55","walking",108,58
"0:10:57","walking",107,57
"0:10:59","walking",106,57
"0:11:01","walking",106,60
"0:11:03","walking",105,60
"0:11:05","walking",102,60
"0:11:07","walking",100,60
"0:11:09","walking",100,60
"0:11:11","walking",101,59
"0:11:13","walking",101,59
"0:11:15","walking",101,59
"0:11:17","walking",99,59
"0:11:19","walking",99,59
"0:11:21","walking",101,59
"0:11:23","walking",103,58
"0:11:25","walking",105,57
"0:11:27","walking",104,58
"0:11:29","walking",101,58
"0:11:31","walking",100,60
"0:11:33","walking",101,61
"0:11:35","walking",104,61
"0:11:37","walking",105,63
"0:11:39","walking",107,60
"0:11:41","walking",109,58
"0:11:43","walking",109,58
"0:11:45","walking",109,58
"0:11:47","walking",110,58
"0:11:49","walking",111,58
"0:11:51","walking",110,58
"0:11:53","walking",109,58
"0:11:55","walking",108,58
"0:11:57","walking",109,58
"0:11:59","walking",110,58
"0:12:01","walking",108,59
"0:12:03","walking",107,60
"0:12:05","walking",106,60
"0:12:07","walking",107,60
"0:12:09","walking",107,58
"0:12:11","walking",106,58
"0:12:13","walking",106,57
"0:12:15","walking",105,57
"0:12:17","walking",106,59
"0:12:19","walking",106,60
"0:12:21","walking",108,61
"0:12:23","walking",108,61
"0:12:25","walking",109,60
"0:12:27","walking",112,60
"0:12:29","walking",112,58
"0:12:31","walking",112,58
"0:12:33","walking",111,58
"0:12:35","walking",109,58
"0:12:37","walking",108,58
"0:12:39","walking",109,58
"0:12:41","walking",110,58
"0:12:43","walking",111,58
"0:12:45","walking",109,58
"0:12:47","walking",109,58
"0:12:49","walking",109,60
"0:12:51","walking",109,60
"0:12:53","walking",109,61
"0:12:55","walking",108,61
"0:12:57","walking",108,59
"0:12:59","walking",110,58
"0:13:01","walking",111,58
"0:13:03","walking",108,59
"0:13:05","walking",107,59
"0:13:07","walking",107,57
"0:13:09","walking",109,56
"0:13:11","walking",108,56
"0:13:13","walking",108,56
"0:13:15","walking",109,56
"0:13:17","walking",109,56
"0:13:19","walking",112,59
"0:13:21","walking",115,60
"0:13:23","walking",116,60
"0:13:25","walking",115,60
"0:13:27","walking",111,59
"0:13:29","walking",108,58
"0:13:31","walking",105,58
"0:13:33","walking",106,58
"0:13:35","walking",106,58
"0:13:37","walking",107,58
"0:13:39","walking",107,58
"0:13:41","walking",106,60
"0:13:43","walking",105,59
"0:13:45","walking",104,59
"0:13:47","walking",105,57
"0:13:49","walking",106,56
"0:13:51","walking",108,56
"0:13:53","walking",109,56
"0:13:55","walking",108,56
"0:13:57","walking",106,53
"0:13:59","walking",104,54
"0:14:01","walking",105,58
"0:14:03","walking",107,57
"0:14:05","walking",108,59
"0:14:07","walking",108,61
"0:14:09","walking",107,61
"0:14:11","walking",103,61
"0:14:13","walking",103,61
"0:14:15","walking",104,62
"0:14:17","walking",106,62
"0:14:19","walking",109,62
"0:14:21","walking",111,62
"0:14:23","walking",110,61
"0:14:25","walking",108,62
"0:14:27","walking",107,64
"0:14:29","walking",106,64
"0:14:31","walking",105,62
"0:14:33","walking",105,62
"0:14:35","walking",104,62
"0:14:37","walking",104,62
"0:14:39","walking",104,62
"0:14:41","walking",106,61
"0:14:43","walking",108,61
"0:14:45","walking",108,61
"0:14:47","walking",105,58
"0:14:49","walking",102,56
"0:14:51","walking",102,57
"0:14:53","walking",103,57
"0:14:55","walking",105,60
"0:14:57","walking",103,61
"0:14:59","walking",103,59
"0:15:01","walking",103,59
"0:15:03","walking",104,61
"0:15:05","walking",105,61
"0:15:07","walking",106,61
"0:15:09","walking",107,61
"0:15:11","walking",108,59
"0:15:13","walking",106,58
"0:15:15","walking",105,61
"0:15:17","walking",104,61
"0:15:19","walking",104,61
"0:15:21","walking",103,62
"0:15:23","walking",105,62
"0:15:25","walking",109,62
"0:15:27","walking",111,59
"0:15:29","walking",108,58
"0:15:31","walking",104,58
"0:15:33","walking",103,59
"0:15:35","walking",104,60
"0:15:37","walking",105,58
"0:15:39","walking",105,57
"0:15:41","walking",104,58
"0:15:43","walking",105,58
"0:15:45","walking",107,58
"0:15:47","walking",105,58
"0:15:49","walking",103,57
"0:15:51","walking",104,56
"0:15:53","walking",105,56
"0:15:55","walking",107,59
"0:15:57","walking",105,59
"0:15:59","walking",101,59
"0:16:01","walking",101,59
"0:16:03","walking",104,59
"0:16:05","walking",107,59
"0:16:07","walking",104,55
"0:16:09","walking",103,50
"0:16:11","walking",103,49
"0:16:13","walking",107,48
"0:16:15","walking",108,52
"0:16:17","walking",111,55
"0:16:19","walking",108,57
"0:16:21","walking",103,57
"0:16:23","walking",97,60
"0:16:25","walking",98,61
"0:16:27","walking",99,58
"0:16:29","walking",100,58
"0:16:31","walking",102,57
"0:16:33","walking",102,57
"0:16:35","walking",99,57
"0:16:37","walking",97,56
"0:16:39","walking",96,56
"0:16:41","walking",97,56
"0:16:43","walking",98,59
"0:16:45","walking",99,59
"0:16:47","walking",103,57
"0:16:49","walking",103,57
"0:16:51","walking",101,57
"0:16:53","walking",99,56
"0:16:55","walking",100,56
"0:16:57","walking",104,57
"0:16:59","walking",105,59
"0:17:01","walking",102,60
"0:17:03","walking",98,57
"0:17:05","walking",101,57
"0:17:07","walking",103,57
"0:17:09","walking",103,57
"0:17:11","walking",102,57
"0:17:13","walking",100,58
"0:17:15","walking",101,57
"0:17:17","walking",102,57
"0:17:19","walking",105,57
"0:17:21","walking",110,58
"0:17:23","walking",111,64
"0:17:25","walking",107,64
"0:17:27","walking",103,65
"0:17:29","walking",105,65
"0:17:31","walking",107,56
"0:17:33","walking",108,54
"0:17:35","walking",106,56
"0:17:37","walking",101,56
"0:17:39","walking",100,56
"0:17:41","walking",105,56
"0:17:43","walking",107,56
"0:17:45","walking",110,57
"0:17:47","walking",110,57
"0:17:49","walking",103,57
"0:17:51","walking",99,58
"0:17:53","walking",100,58
"0:17:55","walking",102,61
"0:17:57","walking",105,61
"0:17:59","walking",108,60
"0:18:01","walking",107,59
"0:18:03","walking",104,59
