"Time","Activity","HR","Speed_NR","Cadence"
"0:02:12","office_work",70,3.17209652,0
"0:02:13","office_work",70,3.158730067,0
"0:02:14","office_work",70,3.144132399,0
"0:02:15","office_work",70,3.128835698,0
"0:02:16","office_work",69,3.113336971,0
"0:02:17","office_work",69,3.098089776,0
"0:02:18","office_work",68,3.083493514,0
"0:02:19","office_work",68,3.069883969,0
"0:02:20","office_work",68,3.057529563,0
"0:02:21","office_work",68,3.046636665,0
"0:02:22","office_work",68,3.037364636,0
"0:02:23","office_work",69,3.029848026,0
"0:02:24","office_work",69,3.02422071,0
"0:02:25","office_work",69,3.02063574,0
"0:02:26","office_work",69,3.019275701,0
"0:02:27","office_work",69,3.020350997,0
"0:02:28","office_work",69,3.02408668,0
"0:02:29","office_work",69,3.030701103,0
"0:02:30","office_work",69,3.040380987,0
"0:02:31","office_work",70,3.05325741,0
"0:02:32","office_work",70,3.069386279,0
"0:02:33","office_work",71,3.088735728,0
"0:02:34","office_work",71,3.11118199,0
"0:02:35","office_work",72,3.136514515,0
"0:02:36","office_work",72,3.164450173,0
"0:02:37","office_work",72,3.194655089,0
"0:02:38","office_work",72,3.226771186,0
"0:02:39","office_work",72,3.260443353,0
"0:02:40","office_work",72,3.295342908,0
"0:02:41","office_work",72,3.331183793,0
"0:02:42","office_work",72,3.367729616,0
"0:02:43","office_work",72,3.404791693,0
"0:02:44","office_work",73,3.442220157,0
"0:02:45","office_work",73,3.479891522,0
"0:02:46","office_work",73,3.517696579,0
"0:02:47","office_work",73,3.555532059,0
"0:02:48","office_work",72,3.59329809,0
"0:02:49","office_work",72,3.630901592,0
"0:02:50","office_work",72,3.66826365,0
"0:02:51","office_work",71,3.705327499,0
"0:02:52","office_work",71,3.742063293,0
"0:02:53","office_work",71,3.778466735,0
"0:02:54","office_work",71,3.814550399,0
"0:02:55","office_work",71,3.850328728,0
"0:02:56","office_work",71,3.885799286,0
"0:02:57","office_work",71,3.920923504,0
"0:02:58","office_work",72,3.955609783,0
"0:02:59","office_work",72,3.989700767,0
"0:03:00","office_work",72,4.022965547,0
"0:03:01","office_work",72,4.055096767,0
"0:03:02","office_work",72,4.085712274,0
"0:03:03","office_work",71,4.114360956,0
"0:03:04","office_work",71,4.140532413,0
"0:03:05","office_work",71,4.163670169,0
"0:03:06","office_work",70,4.183188121,0
"0:03:07","office_work",70,4.198490021,0
"0:03:08","office_work",70,4.208991987,0
"0:03:09","office_work",70,4.21414819,0
"0:03:10","office_work",70,4.213479744,0
"0:03:11","office_work",70,4.206606251,0
"0:03:12","office_work",71,4.193278432,0
"0:03:13","office_work",70,4.173409173,0
"0:03:14","office_work",70,4.147099467,0
"0:03:15","office_work",70,4.114655683,0
"0:03:16","office_work",71,4.076595358,0
"0:03:17","office_work",71,4.033640187,0
"0:03:18","office_work",72,3.986696551,0
"0:03:19","office_work",72,3.93682528,0
"0:03:20","office_work",72,3.885203002,0
"0:03:21","office_work",72,3.833077426,0
"0:03:22","office_work",72,3.781718396,0
"0:03:23","office_work",72,3.732366011,0
"0:03:24","office_work",71,3.686176972,0
"0:03:25","office_work",71,3.644170662,0
"0:03:26","office_work",71,3.607177462,0
"0:03:27","office_work",71,3.575792981,0
"0:03:28","office_work",71,3.55034279,0
"0:03:29","office_work",71,3.530862342,0
"0:03:30","office_work",72,3.517095639,0
"0:03:31","office_work",72,3.508514074,0
"0:03:32","office_work",72,3.504354114,0
"0:03:33","office_work",72,3.503670045,0
"0:03:34","office_work",71,3.505396267,0
"0:03:35","office_work",71,3.508412947,0
"0:03:36","office_work",70,3.511609136,0
"0:03:37","office_work",70,3.513938327,0
"0:03:38","office_work",71,3.51446289,0
"0:03:39","office_work",71,3.512385488,0
"0:03:40","office_work",72,3.507067417,0
"0:03:41","office_work",72,3.498035356,0
"0:03:42","office_work",72,3.484979084,0
"0:03:43","office_work",72,3.467742951,0
"0:03:44","office_work",72,3.446313498,0
"0:03:45","office_work",72,3.420804865,0
"0:03:46","office_work",72,3.391442958,0
"0:03:47","office_work",72,3.358549129,0
"0:03:48","office_work",74,3.322524174,0
"0:03:49","office_work",75,3.283833725,0
"0:03:50","office_work",75,3.242996125,0
"0:03:51","office_work",76,3.20057343,0
"0:03:52","office_work",76,3.157165435,0
"0:03:53","office_work",77,3.113405561,0
"0:03:54","office_work",77,3.069956561,0
"0:03:55","office_work",77,3.027503398,0
"0:03:56","office_work",77,2.98674064,0
"0:03:57","office_work",77,2.948352356,0
"0:03:58","office_work",77,2.912983866,0
"0:03:59","office_work",77,2.881206683,0
"0:04:00","office_work",77,2.853480067,0
"0:04:01","office_work",77,2.830114372,0
"0:04:02","office_work",77,2.811242088,0
"0:04:03","office_work",76,2.796801963,0
"0:04:04","office_work",75,2.786539779,0
"0:04:05","office_work",75,2.780026758,0
"0:04:06","office_work",75,2.776693803,0
"0:04:07","office_work",74,2.775877353,0
"0:04:08","office_work",74,2.776871112,0
"0:04:09","office_work",74,2.778977328,0
"0:04:10","office_work",74,2.781551913,0
"0:04:11","office_work",74,2.784039102,0
"0:04:12","office_work",74,2.785993376,0
"0:04:13","office_work",74,2.787088395,0
"0:04:14","office_work",73,2.78711437,0
